Wavelength,AbsorptionRate,Transmission,OpticalDensity,Material
439,0.279025747,76.51714314,54.95528594,ITO
440,0.270591002,76.4814811,67.80299653,ITO
441,0.262156256,76.45335305,58.84466307,ITO
442,0.254179282,76.43158297,64.94650523,ITO
443,0.246525904,76.41499487,50.82846599,ITO
444,0.238872526,76.40241276,49.46409411,ITO
445,0.231219148,76.39266064,61.75031925,ITO
446,0.22356577,76.3845625,56.32442229,ITO
447,0.216339075,76.37694237,51.48103449,ITO
448,0.209482709,76.36862423,50.98847082,ITO
449,0.202626343,76.35844625,47.32296046,ITO
450,0.195769976,76.34625466,53.30506872,ITO
451,0.18891361,76.33355709,59.71161568,ITO
452,0.182440122,76.32201628,60.8288438,ITO
453,0.176373443,76.31329499,67.07595174,ITO
454,0.170306765,76.30905596,42.26103794,ITO
455,0.164240086,76.31096196,64.81594081,ITO
456,0.158173407,76.32067574,57.12643959,ITO
457,0.152438243,76.33986004,63.31920421,ITO
458,0.14713482,76.3701705,66.52166199,ITO
459,0.141831396,76.4122888,75.01968418,ITO
460,0.136527973,76.46494089,68.85437073,ITO
461,0.13122455,76.52661883,58.55943945,ITO
462,0.126198169,76.59581467,78.57652975,ITO
463,0.121616513,76.67102045,60.3904441,ITO
464,0.117034858,76.75072823,44.53118955,ITO
465,0.112453202,76.83343005,48.54559998,ITO
466,0.107871547,76.91761795,59.59535147,ITO
467,0.103512969,77.0018732,66.86138911,ITO
468,0.099600545,77.08580402,59.30003013,ITO
469,0.095688121,77.16967658,39.45270461,ITO
470,0.091775697,77.25376779,43.55931198,ITO
471,0.087863273,77.33835456,64.85289463,ITO
472,0.084123209,77.42371382,65.87369126,ITO
473,0.080820199,77.51012247,62.69441267,ITO
474,0.077517189,77.59785742,55.83152135,ITO
475,0.074214179,77.68719561,60.56323678,ITO
476,0.07091117,77.77839459,59.10251438,ITO
477,0.067734937,77.87141892,53.93892961,ITO
478,0.064977622,77.96600565,62.30460076,ITO
479,0.062220306,78.06188587,62.78108978,ITO
480,0.059462991,78.15879068,64.55484664,ITO
481,0.056705676,78.25645117,47.64616832,ITO
482,0.054035809,78.35459842,31.0608023,ITO
483,0.051759463,78.45296353,46.32874808,ITO
484,0.049483116,78.5512776,59.48932484,ITO
485,0.04720677,78.6492717,59.48948494,ITO
486,0.044930423,78.74669776,50.18313638,ITO
487,0.042708913,78.8437521,39.18900516,ITO
488,0.040850166,78.94105722,45.82030886,ITO
489,0.038991418,79.03925276,47.30506138,ITO
490,0.037132671,79.13897836,64.28517688,ITO
491,0.035273923,79.24087366,65.69250927,ITO
492,0.033444057,79.3455783,54.38619007,ITO
493,0.031942711,79.45373192,51.71504651,ITO
494,0.030441366,79.56597418,41.78057565,ITO
495,0.028940021,79.682735,41.30483958,ITO
496,0.027438675,79.80346239,40.85997497,ITO
497,0.025946472,79.92731713,43.78952598,ITO
498,0.024746804,80.05345998,52.03974569,ITO
499,0.023547136,80.18105171,55.49012177,ITO
500,0.022347468,80.30925308,41.67537438,ITO
501,0.021147799,80.43722485,36.63767617,ITO
502,0.019948131,80.56412777,45.38200375,ITO
503,0.018994639,80.68913499,66.01954236,ITO
504,0.018046223,80.81196582,48.80621478,ITO
505,0.017097807,80.93308943,47.56080728,ITO
506,0.01614939,81.05302938,59.37130051,ITO
507,0.015200974,81.17230919,58.48537792,ITO
508,0.014444501,81.29145242,57.7502469,ITO
509,0.013702632,81.4109826,48.34878517,ITO
510,0.012960764,81.53142329,62.99051003,ITO
511,0.012218895,81.65329254,54.17698787,ITO
512,0.011477026,81.77672999,50.40446155,ITO
513,0.01088249,81.9012583,50.12162093,ITO
514,0.010308276,82.0263434,65.98274943,ITO
515,0.009734062,82.15145118,56.32925536,ITO
516,0.009159847,82.27604753,41.81007381,ITO
517,0.008585633,82.39959838,43.64059367,ITO
518,0.008122743,82.52157125,52.01637331,ITO
519,0.007682933,82.64161688,51.41335012,ITO
520,0.007243123,82.75973404,63.06119472,ITO
521,0.006803313,82.87596041,58.4396226,ITO
522,0.006363502,82.99033367,55.9631564,ITO
523,0.006006481,83.10289149,55.48603627,ITO
524,0.005673113,83.21367155,43.89651326,ITO
525,0.005339746,83.32271154,51.29964862,ITO
526,0.005006378,83.43004913,53.11296808,ITO
527,0.00467301,83.53575473,49.4700359,ITO
528,0.00440022,83.64024932,42.54950629,ITO
529,0.004150146,83.74416661,51.04927299,ITO
530,0.003900073,83.84814331,56.17607359,ITO
531,0.003649999,83.95281611,43.97336545,ITO
532,0.003399925,84.05882171,40.76103802,ITO
533,0.003193445,84.16679683,45.70202789,ITO
534,0.003007786,84.27737816,51.37128999,ITO
535,0.002822126,84.39120241,45.95959429,ITO
536,0.002636467,84.50883015,48.75841129,ITO
537,0.002450808,84.62975576,62.8380548,ITO
538,0.002295984,84.75268869,45.72854276,ITO
539,0.002159562,84.87632013,42.53259281,ITO
540,0.00202314,84.9993413,41.52809147,ITO
541,0.001886717,85.12044339,38.25782874,ITO
542,0.001750295,85.23831761,48.21185342,ITO
543,0.001635294,85.35165517,52.77128714,ITO
544,0.001536078,85.45914728,57.94076761,ITO
545,0.001436861,85.55954653,62.8042047,ITO
546,0.001337644,85.65276222,55.09635127,ITO
547,0.001238427,85.73973392,61.5189548,ITO
548,0.00115381,85.82143724,76.12941584,ITO
549,0.001082388,85.8988478,66.08900128,ITO
550,0.001010966,85.9729412,56.59605282,ITO
551,0.000939544,86.04469305,58.60847675,ITO
552,0.000868123,86.11507897,64.63222166,ITO
553,0.000806448,86.18507455,64.45503632,ITO
554,0.000755559,86.2554457,58.15997539,ITO
555,0.000704669,86.3260563,53.92434913,ITO
556,0.000653779,86.39652778,48.45265152,ITO
557,0.000602889,86.46648157,41.39496416,ITO
558,0.000558362,86.5355391,44.54234304,ITO
559,0.000522471,86.6033218,43.18692998,ITO
560,0.000486579,86.6694511,35.12494227,ITO
561,0.000450687,86.73354843,41.11924749,ITO
562,0.000414796,86.79525235,39.22647379,ITO
563,0.000382953,86.85483992,38.89027548,ITO
564,0.000357896,86.91340194,48.84580416,ITO
565,0.000332839,86.97208203,51.54599549,ITO
566,0.000307782,87.03202382,53.78765374,ITO
567,0.000282725,87.09437093,52.06896165,ITO
568,0.000260171,87.16026699,53.09243411,ITO
569,0.000242855,87.23085562,53.47001404,ITO
570,0.000225539,87.30728045,62.56963188,ITO
571,0.000208224,87.3906851,58.16446026,ITO
572,0.000190908,87.48219284,48.08571268,ITO
573,0.000175084,87.58164343,47.18527942,ITO
574,0.000163239,87.68685098,35.79134048,ITO
575,0.000151394,87.79545107,31.3363521,ITO
576,0.000139549,87.90507924,56.93633946,ITO
577,0.000127704,88.01337106,71.60715656,ITO
578,0.000116709,88.1179621,59.43635487,ITO
579,0.000108688,88.21648791,53.67136385,ITO
